"country";"GDP"
"Afghanistan";"1239381571900"
"Albania";"1453719969255"
"Algeria";"16591875300000"
"Andorra";"2535120000"
"Angola";"14161788373206"
"Anguilla";"863320000"
"Antigua and Barbuda";"3660243924"
"Argentina";"5838543773110"
"Armenia";"5032089000000"
"Aruba";"4836000000"
"Australia";"1638385000000"
"Austria";"339896040000"
"Azerbaijan";"54352100000"
"Bahamas";"8853519136"
"Bahrain";"11703320000"
"Bangladesh";"15158022000000"
"Barbados";"8770531608"
"Belarus";"869701664000000"
"Belgium";"410351000000"
"Belize";"3441519165"
"Benin";"5013200000000"
"Bermuda";"5853174268"
"Bhutan";"133069867397"
"Bolivia (Plurinational State of)";"228014118954"
"Bosnia and Herzegovina";"28658940000"
"Botswana";"145726227639"
"Brazil";"5904331214709"
"British Virgin Islands";"907861436"
"Brunei Darussalam";"17776935693"
"Bulgaria";"86372601000"
"Burkina Faso";"6544335027586"
"Burundi";"4298409714419"
"Cabo Verde";"159403558404"
"Cambodia";"73422701560829"
"Cameroon";"16806613248981"
"Canada";"1986193000000"
"Cayman Islands";"3055210892"
"Central African Republic";"965668594106"
"Chad";"5920059960103"
"Chile";"157510720864249"
"China, Hong Kong SAR";"2397124000000"
"China, Macao Special Administrative Region";"368728000000"
"China, People's Republic of";"69489162422158"
"Colombia";"800849000000000"
"Comoros";"478766379206"
"Congo";"5022964445992"
"Cook Islands";"421781874"
"Costa Rica";"28309729658903"
"Côte d'Ivoire";"18971300000000"
"Croatia";"333836900000"
"Cuba";"87133000000"
"Curaçao";"5641920251"
"Cyprus";"17637200000"
"Czech Republic";"4554615000000"
"Democratic People's Republic of Korea";"1751302326643"
"Democratic Republic of the Congo";"34788500000000"
"Denmark";"2027171000000"
"Djibouti";"308688000000"
"Dominica";"1383680163"
"Dominican Republic";"3023116112594"
"Ecuador";"100176808000"
"Egypt";"2429800000000"
"El Salvador";"25850211834"
"Equatorial Guinea";"8168940817051"
"Eritrea";"71741595743"
"Estonia";"20251700000"
"Ethiopia";"1236677943356"
"Fiji";"9210799549"
"Finland";"209149000000"
"France";"2181064000000"
"French Polynesia";"552539000000"
"Gabon";"8123298123898"
"Gambia";"39904596109"
"Georgia";"31691556354"
"Germany";"3032820000000"
"Ghana";"139936000000"
"Greece";"175697434500"
"Greenland";"13977699773"
"Grenada";"2576756411"
"Guatemala";"488332981000"
"Guinea";"66432846569137"
"Guinea-Bissau";"578181437822"
